company,name,address,lat,lng,postal_code,locality,adm4,adm1,country
codere,RIAZOR,"KARMELO TORRE, 7, Basauri",43.2376174,-2.8970861,48970,Basauri,Basauri,Basque Country,Spain
codere,RIBERA,"Calle RIBERA, LA, 1, Torrent",39.4328648,-0.4738107999999999,46900,Torrent,Torrent,Valencian Community,Spain
codere,RICHMOND,"Avenida ARENAL, 65, Xàbia",38.7720833,0.1879106,03738,Platja de l'Arenal,Xàbia,Valencian Community,Spain
codere,RINCON DE ALMA,"PROFESOR TIERNO GALVÁN, 16, O Burgo",43.3163983,-8.3732024,15670,,Culleredo,Galicia,Spain
codere,RINCON DE FREDDY EL,"URANO, 5, Benidorm",38.5421248,-0.1325283,03501,Benidorm,Benidorm,Valencian Community,Spain
codere,RINCON DE LOIX,"Calle ATMELLA DE MAR, 3, Benidorm",38.5341433,-0.1077953,03503,Benidorm,Benidorm,Valencian Community,Spain
codere,RINCON DE NEREA,"ALBACETE, 58, Valencia",39.472432,-0.3282237,46011,Valencia,Valencia,Valencian Community,Spain
codere,RINCON SALAO EL,"REAL MADRID, 50, Valencia",,,,,,,
codere,RIO,"Calle DOCTOR ESQUERDO, 176, Madrid",40.3873954,-3.626134,28031,Madrid,Madrid,Community of Madrid,Spain
codere,RIO DO POZO,"Gonzalo Navarro, 153, Castro Naron",43.53226,-8.19966,15540,,Narón,Galicia,Spain
codere,RIO GRANDE,"Calle OBISPO ROMERO LEMA, 10, Baio",29.521204,-101.259159,,,,Coahuila,Mexico
codere,RISCO,"Calle BLANCO RAJOY, 58, Vimianzo",43.1079431,-9.0346647,15129,Vimianzo,Vimianzo,Galicia,Spain
codere,RIVOLI,"Calle GOMEZ ZAMALLOA - ESQ CALLE PLA Y CANCELA, 9 - A Coruña",43.3614342,-8.409663,15005,A Coruña,A Coruña,Galicia,Spain
codere,ROAL,"ZUATZAURRE, 11, Galdakao",43.2327343,-2.8532538,48960,Galdakao,Galdakao,Basque Country,Spain
codere,ROBERANGELO,"CL EMPERATRIZ ISABEL, 1, Madrid",40.397879,-3.716863,28019,Madrid,Madrid,Community of Madrid,Spain
codere,ROBLEDO,"RUA EUROPA, 9, A Coruña",43.3530254,-8.4132948,15007,A Coruña,A Coruña,Galicia,Spain
