"id_local","clase_vial_acceso","desc_vial_acceso","num_acceso","rotulo","desc_seccion","desc_division","lng","lat","label"
165,"CALLE","SESEÑA",50,"SALA ALUCHE BINGO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7037902","40.4167754",
166,"CALLE","ILLESCAS",18,"SPORTIUM SALA DE JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.764952199999999","40.3960681",
167,"CALLE","OCAÑA",1,"SALON DE JUEGOS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.732388799999999","40.3887946",
168,"CALLE","VIA CARPETANA",324,"(POR DETERMINAR)","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7426929","40.3917355",
169,"CALLE","MAQUEDA",34,"APUESTAS DEPORTIVAS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7648805","40.3932735",
170,"CALLE","ILLESCAS",46,"LAS VEGAS JUEGOS Y APUESTOS SL","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7619208","40.3930149",
171,"CALLE","CAMARENA",119,"SPORTIUM APUESTAS DEPORTIVAS SA","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7554043","40.390666",
172,"CALLE","VIA CARPETANA",340,"R0TULO NO INFORMADO","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.74339","40.3909477",
173,"CALLE","GALICIA",14,"CODERE APUESTAS","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7714967","40.3978988",
174,"CALLE","JOSE DE CADALSO",74,"SPORTIUM","ACTIVIDADES ARTISTICAS, RECREATIVAS Y DE ENTRETENIMIENTO","ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS","-3.7692615","40.3782662",
